Ticker,Ticker+SA,Nome,Negócios
VULC3,VULC3.SA,Vulcabras,1.329.500
POMO3,POMO3.SA,Marcopolo,1.326.900
PINE4,PINE4.SA,Banco Pine,1.269.300
TTEN3,TTEN3.SA,3tentos,1.229.700
LJQQ3,LJQQ3.SA,Lojas Quero-Quero,1.191.000
CPFE3,CPFE3.SA,CPFL Energia,1.158.100
DASA3,DASA3.SA,Dasa,1.140.900
HBOR3,HBOR3.SA,Helbor,1.118.700
PSSA3,PSSA3.SA,Porto Seguro,1.102.100
ORVR3,ORVR3.SA,Orizon,1.080.600
PLPL3,PLPL3.SA,Plano&Plano,1.079.100
RECV3,RECV3.SA,PetroRecôncavo,1.010.800
FESA4,FESA4.SA,Ferbasa,995.1
KEPL3,KEPL3.SA,Kepler Weber,933.1
TAEE11,TAEE11.SA,Taesa,932.6
PTBL3,PTBL3.SA,Portobello,916.3
DXCO3,DXCO3.SA,Dexco,882.2
SAPR4,SAPR4.SA,Sanepar,861.9
PASS3,PASS3.SA,COMPASS,860.8
VVEO3,VVEO3.SA,Viveo,846
HBSA3,HBSA3.SA,Hidrovias do Brasil,834.6
JALL3,JALL3.SA,Jalles Machado,813.9
KLBN3,KLBN3.SA,Klabin,793.3
RIAA3,RIAA3.SA,Guararapes,784.4
POSI3,POSI3.SA,Positivo,778
BRSR6,BRSR6.SA,Banrisul,776.7
VTRU3,VTRU3.SA,VITRUBREPCOM,728.4
JSLG3,JSLG3.SA,JSL,715.2
MDIA3,MDIA3.SA,M. Dias Branco,664.8
EVEN3,EVEN3.SA,Even,658.6
IRBR3,IRBR3.SA,IRB Brasil RE,635.2
SAPR11,SAPR11.SA,Sanepar,596.9
DESK3,DESK3.SA,Desktop,594.8
BMGB4,BMGB4.SA,Banco BMG,590.6
MDNE3,MDNE3.SA,Moura Dubeux,586.4
MYPK3,MYPK3.SA,Iochpe-Maxion,537.5
AXIA7,AXIA7.SA,Axia Energia,520.2
ENJU3,ENJU3.SA,Enjoei,517.5
CYRE4,CYRE4.SA,Cyrela,505.9
FIQE3,FIQE3.SA,Unifique,493.2
INTB3,INTB3.SA,Intelbras,479.7
MILS3,MILS3.SA,Mills,479.3
PNVL3,PNVL3.SA,Dimed,472.9
OBTC3,OBTC3.SA,OrangeBTC,462.2
TASA4,TASA4.SA,Taurus,453.6
ABCB4,ABCB4.SA,Banco ABC Brasil,434.2
BMOB3,BMOB3.SA,Bemobi,431.5
TGMA3,TGMA3.SA,Tegma,427.7
ARML3,ARML3.SA,Armac,406.2
LAVV3,LAVV3.SA,Lavvi Incorporadora,376.8
PRNR3,PRNR3.SA,Priner,367.5
RCSL3,RCSL3.SA,Recrusul,366.5
TFCO4,TFCO4.SA,Track & Field,365.7
CAML3,CAML3.SA,Camil Alimentos,362.6
ALUP11,ALUP11.SA,Alupar,354.9
MELK3,MELK3.SA,Melnick,353.9
MTRE3,MTRE3.SA,Mitre Realty,346.2
RANI3,RANI3.SA,Irani,342.5
ALLD3,ALLD3.SA,Allied,338.1
CSED3,CSED3.SA,Cruzeiro do Sul Educacional,337.2
OPCT3,OPCT3.SA,OceanPact,336.1
SOJA3,SOJA3.SA,Boa Safra Sementes,320.7
SEQL3,SEQL3.SA,Sequoia Logística,287.9
VITT3,VITT3.SA,Vittia,285.4
LOGG3,LOGG3.SA,LOG CP,268.7
TRIS3,TRIS3.SA,Trisul,268
SHUL4,SHUL4.SA,Schulz,265.9
BRKM3,BRKM3.SA,Braskem,241.7
BRBI11,BRBI11.SA,BR Partners,233.2
UNIP6,UNIP6.SA,Unipar,220.4
TCSA3,TCSA3.SA,Tecnisa,220.3
PDGR3,PDGR3.SA,PDG Realty,194.7
TUPY3,TUPY3.SA,Tupy,177
BRST3,BRST3.SA,Brisanet,173.7
ITSA3,ITSA3.SA,Itaúsa,158.3
WIZC3,WIZC3.SA,Wiz Soluções,155.9
SANB3,SANB3.SA,Banco Santander,148.9
DOTZ3,DOTZ3.SA,Dotz,148.2
SANB4,SANB4.SA,Banco Santander,139.8
TPIS3,TPIS3.SA,Triunfo,137.2
ALPK3,ALPK3.SA,Estapar,133.9
BLAU3,BLAU3.SA,Blau Farmacêutica,132.7
TAEE4,TAEE4.SA,Taesa,126.1
LEVE3,LEVE3.SA,Mahle Metal Leve,126
AGRO3,AGRO3.SA,BrasilAgro,116.7
VLID3,VLID3.SA,Valid,113.5
MATD3,MATD3.SA,Mater Dei,109.6
LPSB3,LPSB3.SA,Lopes,106.6
FRAS3,FRAS3.SA,Fras-le,96.5
SYNE3,SYNE3.SA,SYN,96.5
CMIG3,CMIG3.SA,Cemig,93.4
ROMI3,ROMI3.SA,Indústrias ROMI,89
MEAL3,MEAL3.SA,IMC Alimentação,86.9
AMAR3,AMAR3.SA,Lojas Marisa,82.8
AZEV11,AZEV11.SA,Azevedo & Travassos,76.4
SAPR3,SAPR3.SA,Sanepar,76.2
PFRM3,PFRM3.SA,Profarma,72.8
DEXP3,DEXP3.SA,Dexxos,72.1
TAEE3,TAEE3.SA,Taesa,68.6
EUCA4,EUCA4.SA,Eucatex,56.7
BOBR4,BOBR4.SA,Bombril,50
RNEW3,RNEW3.SA,Renova Energia,48.8
TECN3,TECN3.SA,Technos,46.2
RENT4,RENT4.SA,Localiza,45.2
AZUL3,AZUL3.SA,Azul,43.9
ESPA3,ESPA3.SA,Espaçolaser,42.2
IFCM3,IFCM3.SA,Infracommerce,37.3
DMVF3,DMVF3.SA,D1000 Varejo Farma,35.5
AALR3,AALR3.SA,Alliança,34
GGBR3,GGBR3.SA,Gerdau,33.4
AERI3,AERI3.SA,Aeris Energy,33.4
INEP3,INEP3.SA,Inepar,32.7
ETER3,ETER3.SA,Eternit,30.5
CSUD3,CSUD3.SA,CSU Cardsystem,29.7
BRAP3,BRAP3.SA,Bradespar,29.4
RAPT3,RAPT3.SA,Randon,26.8
JFEN3,JFEN3.SA,João Fortes,25.5
HAGA4,HAGA4.SA,Haga,25
VSTE3,VSTE3.SA,LE LIS BLANC,24.7
AGXY3,AGXY3.SA,AgroGalaxy,24.4
CRPG5,CRPG5.SA,Tronox Pigmentos,22.3
BIOM3,BIOM3.SA,Biomm,22.3
SHOW3,SHOW3.SA,Time For Fun,21.7
RNEW4,RNEW4.SA,Renova Energia,20.1
BMEB4,BMEB4.SA,Banco Mercantil do Brasil,18.3
MNPR3,MNPR3.SA,Minupar,18.1
CAMB3,CAMB3.SA,Cambuci,17.5
BSLI4,BSLI4.SA,Banco de Brasília,17.4
TELB4,TELB4.SA,Telebras,16.2
INEP4,INEP4.SA,Inepar,15.5
GOAU3,GOAU3.SA,Metalúrgica Gerdau,14.8
BSLI3,BSLI3.SA,Banco de Brasília,14.7
EQPA3,EQPA3.SA,Equatorial Energia Pará,14.5
LUPA3,LUPA3.SA,Lupatech,13.9
IGTI3,IGTI3.SA,Iguatemi,13.1
IGTI3,IGTI3.SA,Jereissati Participações,13.1
HAGA3,HAGA3.SA,Haga,12.5
LAND3,LAND3.SA,Terra Santa,11.2
PDTC3,PDTC3.SA,Padtec,10.4
UCAS3,UCAS3.SA,Unicasa,10.3
TASA3,TASA3.SA,Taurus,10.1
TELB3,TELB3.SA,Telebras,9.9
RSUL4,RSUL4.SA,Metalúrgica Riosulense,9.8
DOHL4,DOHL4.SA,Döhler,9.4
ALUP3,ALUP3.SA,Alupar,8.8
TOKY3,TOKY3.SA,Toky,8.5
FICT3,FICT3.SA,Fictor Alimentos,8.1
UNIP3,UNIP3.SA,Unipar,7.9
FHER3,FHER3.SA,Fertilizantes Heringer,7.5
BEES3,BEES3.SA,Banestes,7.2
AMOB3,AMOB3.SA,Automob,7.1
CEBR3,CEBR3.SA,CEB,6.9
HOOT4,HOOT4.SA,Hotéis Othon,6.4
CEBR5,CEBR5.SA,CEB,6.2
LUXM4,LUXM4.SA,Trevisa,6.2
VIVR3,VIVR3.SA,Viver,6.2
SCAR3,SCAR3.SA,São Carlos,6
ALUP4,ALUP4.SA,Alupar,5.8
BPAC3,BPAC3.SA,Banco BTG Pactual,4.8
ISAE3,ISAE3.SA,ISA Energia,4.6
IGTI4,IGTI4.SA,Jereissati Participações,4.5
IGTI4,IGTI4.SA,Iguatemi,4.5
WHRL3,WHRL3.SA,Whirlpool,4.4
BAZA3,BAZA3.SA,Banco da Amazônia,4.3
CGRA4,CGRA4.SA,Grazziotin,3.9
NUTR3,NUTR3.SA,Nutriplant,3.9
BALM3,BALM3.SA,Baumer,3.8
ENGI4,ENGI4.SA,Energisa,3.5
EALT4,EALT4.SA,Electro Aço Altona,3.4
ALPA3,ALPA3.SA,Alpargatas,3.4
ENGI3,ENGI3.SA,Energisa,3.3
CLSC4,CLSC4.SA,Celesc,3.2
COCE5,COCE5.SA,Coelce,3.2
ENMT3,ENMT3.SA,Energisa MT,3
CEGR3,CEGR3.SA,Naturgy (CEG),3
MGEL4,MGEL4.SA,Mangels,3
CTAX3,CTAX3.SA,Contax,3
ARND3,ARND3.SA,Arandu,2.9
LOGN3,LOGN3.SA,Log-In,2.5
BRSR3,BRSR3.SA,Banrisul,2.5
BPAC5,BPAC5.SA,Banco BTG Pactual,2.4
WHRL4,WHRL4.SA,Whirlpool,2.3
EMAE4,EMAE4.SA,EMAE,2.2
WDCN3,WDCN3.SA,WDC Networks,2.1
PINE3,PINE3.SA,Banco Pine,2
AVLL3,AVLL3.SA,Alphaville,2
EPAR3,EPAR3.SA,Embpar Participações,2
CEBR6,CEBR6.SA,CEB,1.9
NORD3,NORD3.SA,Nordon,1.9
BEES4,BEES4.SA,Banestes,1.8
WLMM4,WLMM4.SA,WLM,1.6
ENMT4,ENMT4.SA,Energisa MT,1.4
MTSA4,MTSA4.SA,Metisa,1.3
BGIP4,BGIP4.SA,Banese,1.3
SNSY5,SNSY5.SA,Sansuy,1.3
WEST3,WEST3.SA,Westwing,1.2
BIED3,BIED3.SA,Bioma,1.1
CEDO4,CEDO4.SA,Cedro Têxtil,1.1
BMEB3,BMEB3.SA,Banco Mercantil do Brasil,1
CGRA3,CGRA3.SA,Grazziotin,900
CGAS5,CGAS5.SA,Comgás,600
